Country,CountryCode,Year,SuicideRate,SuicideRateRange
Kuwait,KWT,2017,2.5,[1.8-3.4]
Mauritius,MUS,2017,14.9,[11.8-18.5]
Namibia,NAM,2017,27.4,[16.2-44.9]
,EMR,2017,6.6,[3.5-11.2]
Gambia,GMB,2017,6.3,[3.7-10.0]
Lithuania,LTU,2017,23.5,[19.7-27.7]
Namibia,NAM,2017,5.3,[2.7-9.4]
Ireland,IRL,2017,3.7,[2.9-4.7]
Sudan,SDN,2017,3.3,[1.6-6.0]
Somalia,SOM,2017,14.9,[7.1-26.6]
Grenada,GRD,2017,0.6,[0.4-0.8]
Guinea,GIN,2017,8.3,[4.7-13.8]
Serbia,SRB,2017,0.4,[0.3-0.5]
Micronesia (Federated States of),FSM,2017,28.7,[11.7-45.9]
United Republic of Tanzania,TZA,2017,8.2,[5.1-12.4]
Guatemala,GTM,2017,9.8,[7.4-12.7]
Kazakhstan,KAZ,2017,7.8,[6.3-9.5]
Croatia,HRV,2017,10.9,[8.5-13.7]
Viet Nam,VNM,2017,7.5,[4.1-11.7]
Tonga,TON,2017,3.2,[1.9-5.2]
Trinidad and Tobago,TTO,2017,14.0,[9.4-20.1]
Mali,MLI,2017,8.0,[4.1-14.7]
Czechia,CZE,2017,4.5,[3.6-5.5]
Austria,AUT,2017,4.6,[3.7-5.5]
Brunei Darussalam,BRN,2017,5.4,[3.5-7.4]
Senegal,SEN,2017,11.4,[7.0-17.5]
Bangladesh,BGD,2017,1.6,[1.0-2.5]
Uruguay,URY,2017,7.5,[5.8-9.3]
Oman,OMN,2017,1.2,[0.7-1.9]
Yemen,YEM,2017,5.1,[2.6-8.8]
Congo,COG,2017,6.8,[3.9-11.1]
,EMR,2017,3.6,[2.2-5.6]
Ireland,IRL,2017,9.3,[7.5-11.4]
Pakistan,PAK,2017,14.8,[6.4-28.4]
Sierra Leone,SLE,2017,7.9,[4.5-13.1]
Rwanda,RWA,2017,9.6,[5.6-15.6]
Myanmar,MMR,2017,3.1,[1.9-4.7]
Zimbabwe,ZWE,2017,41.3,[21.2-64.6]
Australia,AUS,2017,5.9,[4.9-7.0]
